#Unicode	Char	Tags
35AD	㖭	jf7000_yue
35CE	㗎	jf7000_yue
362D	㘭	jf7000_yue
36AC	㚬	jf7000_name
36C4	㛄	jf7000_name
36E2	㛢	jf7000_name
39EC	㧬	jf7000_yue
3A17	㨗	jf7000_name
3A52	㩒	jf7000_yue
3D88	㶈	jf7000_name
3DCD	㷍	jf7000_name
3DEB	㷫	jf7000_yue
3E74	㹴	jf7000
3F08	㼈	jf7000_name
4552	䕒	jf7000_name
4B72	䭲	jf7000_name
4E00	一	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E01	丁	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E03	七	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E07	万	aj1-7,gb_t_12345,jf7000,joyo_kanji
4E08	丈	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E09	三	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E0A	上	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E0B	下	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E0C	丌	aj1-7,gb_t_12345
4E0D	不	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E0E	与	aj1-7,jf7000,joyo_kanji
4E0F	丏	aj1-7,jf7000_name
4E10	丐	aj1-7,big5_1,gb_t_12345,jf7000
4E11	丑	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E14	且	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E15	丕	aj1-7,big5_1,gb_t_12345,jf7000
4E16	世	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E18	丘	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E19	丙	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E1E	丞	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E1F	丟	aj1-7,big5_1,jf7000
4E21	両	aj1-7,joyo_kanji
4E22	丢	gb_t_12345
4E26	並	aj1-7,big5_1,jf7000,joyo_kanji
4E28	丨	aj1-7,gb_t_12345
4E2A	个	aj1-7,jf7000_yue
4E2B	丫	aj1-7,big5_1,gb_t_12345,jf7000
4E2C	丬	aj1-7,gb_t_12345
4E2D	中	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E30	丰	aj1-7,big5_1,gb_t_12345,jf7000
4E32	串	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E36	丶	aj1-7,gb_t_12345
4E38	丸	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E39	丹	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E3B	主	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E3C	丼	aj1-7,jf7000,joyo_kanji
4E3F	丿	aj1-7,gb_t_12345
4E42	乂	aj1-7,jf7000
4E43	乃	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E45	久	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E47	乇	aj1-7,gb_t_12345
4E48	么	aj1-7,big5_1,gb_t_12345,jf7000
4E4B	之	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E4D	乍	aj1-7,big5_1,gb_t_12345,jf7000
4E4E	乎	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E4F	乏	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E52	乒	big5_1,gb_t_12345,jf7000
4E53	乓	big5_1,gb_t_12345,jf7000
4E56	乖	aj1-7,big5_1,gb_t_12345,jf7000
4E57	乗	aj1-7,joyo_kanji
4E58	乘	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E59	乙	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E5C	乜	aj1-7,gb_t_12345,jf7000
4E5D	九	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E5E	乞	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E5F	也	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E69	乩	aj1-7,big5_1,gb_t_12345,jf7000
4E6A	乪	jf7000_yue
4E71	乱	aj1-7,joyo_kanji
4E73	乳	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E78	乸	jf7000_yue
4E7E	乾	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E80	亀	aj1-7,joyo_kanji
4E82	亂	aj1-7,big5_1,gb_t_12345,jf7000
4E86	了	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E88	予	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E89	争	aj1-7,gb_t_12345,joyo_kanji
4E8B	事	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E8C	二	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E8D	亍	aj1-7,gb_t_12345
4E8E	于	aj1-7,big5_1,gb_t_12345,jf7000
4E91	云	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E92	互	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E93	亓	gb_t_12345,jf7000
4E94	五	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E95	井	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4E98	亘	aj1-7,gb_t_12345,jf7000,jinmeiyo_kanji
4E99	亙	aj1-7,big5_1,jf7000,jinmeiyo_kanji
4E9B	些	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E9C	亜	aj1-7,joyo_kanji
4E9E	亞	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4E9F	亟	aj1-7,big5_1,gb_t_12345,jf7000
4EA0	亠	aj1-7,gb_t_12345
4EA1	亡	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EA2	亢	aj1-7,big5_1,gb_t_12345,jf7000
4EA4	交	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EA5	亥	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4EA6	亦	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4EA8	亨	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4EAB	享	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EAC	京	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EAD	亭	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EAE	亮	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4EB3	亳	aj1-7,big5_1,gb_t_12345,jf7000
4EB7	亷	jf7000_name
4EB9	亹	aj1-7,jf7000_name
4EBA	人	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EBB	亻	aj1-7,gb_t_12345
4EC0	什	aj1-7,big5_1,gb_t_12345,jf7000
4EC1	仁	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EC2	仂	aj1-7,gb_t_12345,jf7000_name
4EC3	仃	aj1-7,big5_1,gb_t_12345,jf7000
4EC4	仄	aj1-7,big5_1,gb_t_12345,jf7000
4EC6	仆	aj1-7,big5_1,gb_t_12345,jf7000
4EC7	仇	aj1-7,big5_1,gb_t_12345,jf7000
4EC9	仉	gb_t_12345,jf7000_name
4ECA	今	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4ECB	介	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4ECD	仍	aj1-7,big5_1,gb_t_12345,jf7000
4ECF	仏	aj1-7,joyo_kanji
4ED4	仔	aj1-7,big5_1,gb_t_12345,jf7000,jinmeiyo_kanji
4ED5	仕	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4ED6	他	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4ED7	仗	aj1-7,big5_1,gb_t_12345,jf7000
4ED8	付	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4ED9	仙	aj1-7,big5_1,gb_t_12345,jf7000,joyo_kanji
4EDD	仝	aj1-7,gb_t_12345,jf7000
