#Unicode	Char	CID	GlyphName
35AD	㖭	2904	uni35AD-CL
362D	㘭	3044	uni362D-CL
36AC	㚬	3179	uni36AC-CL
36C4	㛄	3211	uni36C4-CL
36E2	㛢	3251	uni36E2-CL
3DCD	㷍	5151	uni3DCD-CL
3F08	㼈	5501	uni3F08-CL
396F	㥯	3952	uni396FuE0102-JP
396F	㥯	3970	uni396F-MN
39EC	㧬	4084	uni39EC-JP
3DEB	㷫	5186	uni3DEB-CL
3E74	㹴	5315	uni3E74-CL
3E74	㹴	5335	uni3E74-MN
4E1D	丝	9553	uni4E1D-CN
4E27	丧	9566	uni4E27-CN
4E3D	丽	9595	uni4E3D-JP
4E50	乐	9620	uni4E50-CN
4E61	乡	9643	uni4E61-CN
4E78	乸	9673	uni4E78-CL
4E7F	乿	9682	uni4E7F-MN
4E82	亂	9687	uni4E82uE0102-JP
4E90	亐	9706	uni4E90-JP
4E9F	亟	9729	uni4E9FuE0102-JP
4EA3	亣	9737	uni4EA3-JP
4EA5	亥	9741	uni4EA5uE0102-JP
4EA7	产	9745	uni4EA7-CN
4EB7	亷	9774	uni4EB7-JP
4F22	伢	9919	uni4F22-CL
4F29	伩	9928	uni4F29-CL
4F29	伩	9931	uni4F29-MN
4F41	佁	9961	uni4F41-JP
4F53	体	9986	uni4F53-JP
4F61	佡	10006	uni4F61-JP
4F62	佢	10007	uni4F62-MN
4F74	佴	10031	uni4F74-JP
4F7C	佼	10044	uni4F7CuE0102-JP
4F7E	佾	10049	uni4F7EuE0102-JP
4F8D	侍	10072	uni4F8D-JP
4FDE	俞	10200	uni4FDEuE0100-JP
4FEC	俬	10221	uni4FEC-CL
5020	倠	10308	uni5020-JP
5026	倦	10319	uni5026-MN
502F	倯	10335	uni502F-JP
503E	倾	10359	uni503E-CN
5041	偁	10364	uni5041-MN
5042	偂	10366	uni5042uE0102-JP
506F	偯	10448	uni506F-JP
5077	偷	10464	uni5077uE0102-JP
507F	偿	10474	uni507F-CN
508E	傎	10500	uni508EuE0102-JP
50AF	傯	10569	uni50AFuE0102-JP
50B0	傰	10572	uni50B0uE0102-JP
50C7	僇	10616	uni50C7-MN
50ED	僭	10684	uni50ED-MN
50FE	僾	10718	uni50FE-JP
5146	兆	10850	uni5146-JP
515D	兝	10885	uni515D-JP
516A	兪	10908	uni516AuE0102-JP
5173	关	10920	uni5173uE0102-JP
5199	写	10978	uni5199-CN
519A	冚	10979	uni519A-CL
519C	农	10981	uni519C-CN
51C7	凇	11045	uni51C7-JP
51D1	凑	11068	uni51D1uE0102-MO
51FB	击	11129	uni51FB-CN
51FC	凼	11130	uni51FC-CL
51FF	凿	11137	uni51FF-CN
5221	刡	11183	uni5221-JP
5223	刣	11185	uni5223-JP
5224	判	11188	uni5224uE0103-JP
5224	判	11186	uni5224-MN
5234	刴	11211	uni5234-JP
5241	剁	11230	uni5241-CL
5246	剆	11237	uni5246-MN
5268	剨	11290	uni5268-JP
526A	剪	11295	uni526AuE0102-JP
5281	劁	11338	uni5281-JP
5290	劐	11360	uni5290-JP
5290	劐	11361	uni5290-VAR-CL
529F	功	11388	uni529F-JP
52A8	动	11399	uni52A8-CN
52B5	劵	11416	uni52B5uE0102-JP
52C2	勂	11436	uni52C2-JP
52E5	勥	11493	uni52E5uE0102-JP
52F8	勸	11524	uni52F8uE0102-JP
5335	匵	11632	uni5335uE0102-JP
5339	匹	11639	uni5339uE0103-JP
533C	匼	11647	uni533CuE0102-JP
533E	匾	11653	uni533E-JP
533E	匾	11652	uni533EuE0102-JP
5350	卐	11679	uni5350-JP
5357	南	11687	uni5357-JP
5377	卷	11733	uni5377uE0103-JP
537D	卽	11738	uni537DuE0102-JP
537B	卻	11740	uni537BuE0102-JP
53B0	厰	11816	uni53B0uE0102-JP
53BF	县	11842	uni53BF-CN
53C8	又	11854	uni53C8uE0102-JP
53D1	发	11870	uni53D1-CN
53D8	变	11879	uni53D8uE0101-MO
5406	吆	11941	uni5406-JP
541D	吝	11971	uni541DuE0102-JP
5432	吲	12007	uni5432-JP
5463	呣	12078	uni5463-JP
546F	呯	12096	uni546F-JP
5482	咂	12125	uni5482-JP
548C	和	12138	uni548C-JP
5493	咓	12148	uni5493-JP
549A	咚	12159	uni549A-CL
549E	咞	12164	uni549EuE0100-JP
54B4	咴	12198	uni54B4-JP
54CC	哌	12229	uni54CC-JP
54CE	哎	12232	uni54CEuE0101-JP
54CF	哏	12234	uni54CF-JP
54D0	哐	12235	uni54D0-CL
54DA	哚	12245	uni54DA-CL
54DE	哞	12249	uni54DE-CL
54E4	哤	12257	uni54E4-JP
54E4	哤	12258	uni54E4-MN
54FD	哽	12293	uni54FDuE0102-JP
5525	唥	12354	uni5525-CL
552C	唬	12366	uni552C-JP
5537	唷	12383	uni5537-JP
553F	唿	12400	uni553F-JP
5555	啕	12437	uni5555-JP
556B	啫	12458	uni556B-CL
556E	啮	12474	uni556E-CN
5571	啱	12477	uni5571-CL
5572	啲	12460	uni5572-CL
5576	啶	12482	uni5576-CL
5577	啷	12462	uni5577-CL
