#汉字	Unicode
啊	554A
阿	963F
埃	57C3
挨	6328
哎	54CE
唉	5509
哀	54C0
皚	769A
癌	764C
藹	85F9
矮	77EE
艾	827E
礙	7919
愛	611B
隘	9698
鞍	978D
氨	6C28
安	5B89
俺	4FFA
按	6309
暗	6697
岸	5CB8
胺	80FA
案	6848
骯	9AAF
昂	6602
盎	76CE
凹	51F9
敖	6556
熬	71AC
翱	7FF1
襖	8956
傲	50B2
奥	5965
懊	61CA
澳	6FB3
芭	82AD
捌	634C
扒	6252
叭	53ED
吧	5427
笆	7B06
八	516B
疤	75A4
巴	5DF4
拔	62D4
跋	8DCB
靶	9776
把	628A
耙	8019
壩	58E9
霸	9738
罷	7F77
爸	7238
白	767D
柏	67CF
百	767E
擺	64FA
佰	4F70
敗	6557
拜	62DC
稗	7A17
斑	6591
班	73ED
搬	642C
扳	6273
般	822C
頒	9812
板	677F
版	7248
扮	626E
拌	62CC
伴	4F34
瓣	74E3
半	534A
辦	8FA6
絆	7D46
邦	90A6
幫	5E6B
梆	6886
榜	699C
膀	8180
綁	7D81
棒	68D2
磅	78C5
蚌	868C
鎊	938A
傍	508D
謗	8B17
苞	82DE
胞	80DE
包	5305
褒	8912
剥	5265
薄	8584
雹	96F9
保	4FDD
堡	5821
飽	98FD
寶	5BF6
抱	62B1
報	5831
暴	66B4
豹	8C79
鮑	9B91
爆	7206
杯	676F
碑	7891
悲	60B2
卑	5351
北	5317
輩	8F29
背	80CC
貝	8C9D
鋇	92C7
倍	500D
狽	72FD
備	5099
憊	618A
焙	7119
被	88AB
奔	5954
苯	82EF
本	672C
笨	7B28
崩	5D29
綳	7DB3
甭	752D
泵	6CF5
蹦	8E66
迸	8FF8
逼	903C
鼻	9F3B
比	6BD4
鄙	9119
筆	7B46
彼	5F7C
碧	78A7
蓖	84D6
蔽	853D
畢	7562
斃	6583
毖	6BD6
幣	5E63
庇	5E87
痹	75F9
閉	9589
敝	655D
弊	5F0A
必	5FC5
辟	8F9F
壁	58C1
臂	81C2
避	907F
陛	965B
鞭	97AD
邊	908A
編	7DE8
貶	8CB6
扁	6241
便	4FBF
變	8B8A
卞	535E
辨	8FA8
辯	8FAF
辮	8FAE
遍	904D
標	6A19
彪	5F6A
膘	8198
表	8868
鱉	9C49
憋	618B
别	522B
癟	765F
彬	5F6C
斌	658C
瀕	7015
濱	6FF1
